Taxon,Chromosome count,Ploidy inference,Phylogeny robustness score,Simulation reliability score,Combined score
Acacia_fleckii,x,0,0.78,0.94,0.86
Acacia_grasbyi,x,0,0.43,0.98,0.705
Acacia_hystrix,x,0,1,0.95,0.975
Acacia_cuthbertsonii,x,0,1,0.96,0.98
Acacia_ramulosa_var._linophylla,x,1,0.99,1,0.995
Acacia_lycopodiifolia,x,0,1,0.97,0.985
Acacia_julifera,x,0,1,0.97,0.985
Acacia_simplex,x,0,1,0.96,0.98
Acacia_pachycarpa,x,0,1,0.91,0.955
Acacia_congesta,x,0,1,0.91,0.955
Acacia_fagonioides,x,0,1,1,1
Acacia_cangaiensis,x,0,1,0.99,0.995
Acacia_aemula,x,0,1,0.94,0.97
Acacia_ehrenbergiana,x,0,0.91,0.92,0.915
Acacia_ampliceps,x,0,1,0.97,0.985
Acacia_sakalava,x,0,0.97,0.96,0.965
Acacia_delphina,x,0,1,0.97,0.985
Acacia_bifaria,x,0,1,1,1
Acacia_subrigida,x,0,1,0.94,0.97
Acacia_orites,13,0,1,1,1
Acacia_peuce,x,0,1,0.96,0.98
Acacia_incrassata,x,0,1,0.92,0.96
Acacia_baileyana,13,0,1,1,1
Acacia_dallachiana,x,0,1,0.99,0.995
Acacia_chinchillensis,x,0,1,0.99,0.995
Acacia_drepanocarpa_subsp._latifolia,x,0,1,0.99,0.995
Acacia_concinna,13,0,1,1,1
Acacia_mountfordiae,x,0,1,0.98,0.99
Acacia_oxycedrus,x,0,1,0.99,0.995
Acacia_hindsii,x,0,0.89,0.95,0.92
Acacia_exilis,x,0,1,0.96,0.98
Acacia_glaucoptera,13,0,1,1,1
Acacia_lineata,x,0,1,0.96,0.98
Acacia_clunies_rossiae,x,0,1,1,1
Acacia_olgana,x,0,1,0.99,0.995
Acacia_elachantha,x,0,1,0.97,0.985
Acacia_courtii,x,0,1,1,1
Acacia_aprepta,x,0,0.76,0.97,0.865
Acacia_drepanophylla,x,0,1,0.97,0.985
Acacia_nilotica_subsp._indica,26,1,1,1,1
Acacia_tephrina,x,0,0.78,0.99,0.885
Acacia_masliniana,x,0,1,0.97,0.985
Acacia_grandifolia,x,0,1,1,1
Acacia_microbotrya,x,0,1,0.99,0.995
Acacia_leucoclada_subsp._argentifolia,13,0,1,1,1
Acacia_mucronata,x,0,1,0.97,0.985
Acacia_curranii,x,0,1,0.97,0.985
Acacia_subtessarogona,x,1,0.99,1,0.995
Acacia_omalophylla,x,0,0.78,0.98,0.88
Acacia_aestivalis,x,0,1,0.99,0.995
Acacia_denticulosa,x,0,1,0.96,0.98
Acacia_ammobia,x,0,1,0.97,0.985
Acacia_adnata,x,NA,0.5,0.96,0.73
Acacia_irrorata,13,0,1,1,1
Acacia_continua,x,0,1,0.92,0.96
Acacia_ligulata,13,0,1,1,1
Acacia_pubirhachis,x,0,1,0.96,0.98
Acacia_ramulosa,x,1,0.99,1,0.995
Acacia_cultriformis,13,0,1,1,1
Acacia_translucens,x,0,1,0.98,0.99
Acacia_carneorum,x,0,1,0.96,0.98
Acacia_pickardii,x,0,1,0.94,0.97
Acacia_hamersleyensis,x,0,1,0.98,0.99
Acacia_extensa,x,0,1,0.95,0.975
Acacia_attenuata,x,0,1,0.99,0.995
Acacia_riceana,x,0,1,0.98,0.99
Acacia_latzii,x,0,0.78,1,0.89
Acacia_amblygona,x,0,1,0.96,0.98
Acacia_prainii,x,0,1,0.94,0.97
Acacia_verniciflua,13,0,1,0.99,0.995
Acacia_celastrifolia,x,0,0.85,0.97,0.91
Acacia_bancroftiorum,13,0,1,1,1
Acacia_abbreviata,x,0,1,0.96,0.98
Acacia_flexifolia,x,0,1,0.98,0.99
Acacia_adsurgens,x,0,0.78,0.99,0.885
Acacia_arcuatilis,x,0,0.62,0.96,0.79
Acacia_glaucocaesia,x,0,1,0.95,0.975
Acacia_atkinsiana,x,0,0.71,0.95,0.83
Acacia_hirtipes,x,0,0.89,0.97,0.93
Acacia_semicircinalis,x,0,1,0.92,0.96
Acacia_cupularis,x,0,1,0.97,0.985
Acacia_dictyophleba,x,0,1,0.93,0.965
Acacia_excelsa,x,0,1,0.93,0.965
Acacia_colei,x,0,1,0.97,0.985
Acacia_hypermeces,x,0,1,0.96,0.98
Acacia_storyi,x,0,1,1,1
Acacia_loroloba,x,0,1,0.99,0.995
Acacia_undoolyana,x,0,1,0.98,0.99
Acacia_stigmatophylla,x,0,1,0.97,0.985
Acacia_thomsonii,x,0,1,0.97,0.985
Acacia_sabulosa,x,0,1,0.94,0.97
Acacia_leioderma,x,0,1,0.92,0.96
Acacia_harpophylla,13,0,1,1,1
Acacia_ausfeldii,x,0,1,0.99,0.995
Acacia_acanthaster,x,0,1,0.98,0.99
Acacia_repanda,x,0,1,0.99,0.995
Acacia_sinuata,x,0,1,0.97,0.985
Acacia_imbricata,x,0,1,0.98,0.99
Acacia_acuaria,x,1,1,0.98,0.99
Acacia_fecunda,x,0,1,0.99,0.995
Acacia_andrewsii,x,0,1,0.9,0.95
Acacia_neriifolia,x,0,1,0.99,0.995
Acacia_fragilis,x,0,0.97,0.97,0.97
Acacia_conferta,x,0,1,0.97,0.985
Acacia_boormanii,x,0,1,0.99,0.995
Acacia_brachypoda,x,0,1,0.97,0.985
Acacia_ancistrophylla_var._lissophylla,x,0,1,0.97,0.985
Acacia_gillii,x,0,1,0.99,0.995
Acacia_gilbertii,x,0,1,0.92,0.96
Acacia_argyrophylla,x,0,1,0.98,0.99
Acacia_synchronicia,x,0,1,0.94,0.97
Acacia_epacantha,x,0,1,0.96,0.98
Acacia_dangarensis,x,0,1,0.99,0.995
Acacia_wickhamii_subsp._cassitera,x,0,1,0.99,0.995
Acacia_gonoclada,x,0,1,0.98,0.99
Acacia_binervia,x,0,0.76,0.99,0.875
Acacia_neovernicosa,13,0,1,1,1
Acacia_coriacea,x,0,1,0.96,0.98
Acacia_clelandii,x,0,0.62,0.98,0.8
Acacia_citrinoviridis,x,0,1,0.97,0.985
Acacia_chiapensis,x,0,0.88,0.94,0.91
Acacia_spondylophylla,x,0,0.99,0.96,0.975
Acacia_verricula,x,0,1,0.98,0.99
Acacia_sparsiflora,x,0,0.83,0.99,0.91
Acacia_retinodes,13,0,1,1,1
Acacia_pedleyi,x,0,1,0.99,0.995
Acacia_leptalea,x,0,0.94,0.98,0.96
Acacia_buxifolia,x,0,1,0.99,0.995
Acacia_macnuttiana,x,0,1,0.98,0.99
Acacia_forsythii,x,0,1,0.97,0.985
Acacia_praelongata,x,0,1,0.95,0.975
